Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 3,F,NI,1,F-NI-1,0.008238,0.005731,0.006065,0.007914,0.00063,0.064953,0.004832,0.016396,0.004979,0.000637,0.040347,0.033671,0.041891
Run 3,F,NI,2,F-NI-2,0.019584,0.005823,0.006333,0.00735,0.001118,0.084369,0.009468,0.007024,0.003663,0.00025,0.042375,0.036517,0.04184
Run 3,F,NI,3,F-NI-3,0.018265,0.005816,0.010531,0.012449,0.00062,0.296448,0.006396,0.005731,0.005194,0.001731,0.05332,0.045613,0.052939
Run 3,F,I,1,F-I-1,0.02048,0.007058,0.007093,0.011028,0.000626,0.07387,0.01502,0.006649,0.003811,0.001269,0.041134,0.029914,0.034164
Run 3,F,I,2,F-I-2,0.021765,0.008332,0.008813,0.01366,0.002233,0.069478,0.006733,0.007566,0.007933,0.002999,0.029784,0.020691,0.025262
Run 3,F,I,3,F-I-3,0.024035,0.007394,0.005914,0.012718,0.002261,0.098649,0.006988,0.009423,0.004361,0.001205,0.030745,0.022555,0.027537
Run 3,F,II,1,F-II-1,0.016901,0.008391,0.023,0.007303,0.000692,0.271112,0.001051,0.007282,0.008214,0.001574,0.035849,0.02355,0.03085
Run 3,F,II,2,F-II-2,0.015868,0.006339,0.007002,0.00917,0.000317,0.391869,0.003154,0.004277,0.007456,0.002149,0.033167,0.024218,0.031063
Run 3,F,II,3,F-II-3,0.026938,0.004975,0.00822,0.017115,0.001973,1.446583,0.005109,0.008427,0.00779,0.000958,0.035552,0.025159,0.030709
Run 3,F,III,1,F-III-1,0.01481,0.005532,0.005954,0.008407,0.000512,0.485642,0.00475,0.010066,0.003103,0.000406,0.047029,0.042037,0.046637
Run 3,F,III,2,F-III-2,0.015866,0.00576,0.006228,0.013824,0.000799,0.136753,0.008814,0.009906,0.003472,0.000177,0.045726,0.046175,0.048369
Run 3,F,III,3,F-III-3,0.010953,0.004604,0.004845,0.006279,0.001556,2.704034,0.002938,0.010727,0.003506,0.000405,0.047983,0.042918,0.045518
Run 3,F,VIII,1,F-VIII-1,0.005393,0.003827,0.004009,0.006375,0.000356,0.457963,0.006809,0.008529,0.00268,0.000564,0.059849,0.074033,0.075633
Run 3,F,VIII,2,F-VIII-2,0.007545,0.003931,0.002247,0.004208,0.000201,0.037089,0.002889,0.003344,0.003969,0.000949,0.052526,0.066911,0.065176
Run 3,F,VIII,3,F-VIII-3,0.014722,0.006129,0.004884,0.005087,0.001129,0.070042,0.00869,0.002,0.0023,0.000865,0.047905,0.050673,0.051182
Run 3,1011c,NI,1,1011c-NI-1,0.007473,0.002227,0.004839,0.00497,0.000524,0.158368,0.001633,0.005693,0.002521,0.00073,0.059765,0.06258,0.066192
Run 3,1011c,NI,2,1011c-NI-2,0.015028,0.006478,0.005846,0.005592,0.00116,0.278242,0.004125,0.007098,0.002997,0.000581,0.052578,0.056503,0.057019
Run 3,1011c,NI,3,1011c-NI-3,0.006068,0.005177,0.004061,0.005087,0.001095,0.097087,0.004922,0.003898,0.001577,0.000559,0.05066,0.047942,0.053197
Run 3,1011c,I,1,1011c-I-1,0.009004,0.007162,0.005749,0.0053,0.000773,0.28312,0.001565,0.008715,0.001445,0.000788,0.04484,0.038792,0.047869
Run 3,1011c,I,2,1011c-I-2,0.005749,0.00506,0.007703,0.005186,0.001435,0.109594,0.00611,0.006776,0.002091,0.000734,0.04385,0.039083,0.045195
Run 3,1011c,I,3,1011c-I-3,0.015646,0.005994,0.007317,0.007827,0.001328,0.109055,0.002976,0.006089,0.001511,0.001003,0.046113,0.040883,0.044378
Run 3,1011c,II,1,1011c-II-1,0.009285,0.008717,0.009764,0.014737,0.001751,0.20935,0.003272,0.015569,0.00212,0.001459,0.044462,0.041699,0.043723
Run 3,1011c,II,2,1011c-II-2,0.012456,0.008456,0.007562,0.007309,0.00103,0.377972,0.002387,0.014077,0.005394,0.001759,0.047586,0.042798,0.045274
Run 3,1011c,II,3,1011c-II-3,0.01308,0.063943,0.010047,0.005558,0.001085,0.330282,0.005246,0.012545,0.002584,0.001363,0.045615,0.04079,0.04366
Run 3,1011c,III,1,1011c-III-1,0.003541,0.00323,0.002017,0.002296,0.0003,0.054855,0.004128,0.002862,0.000708,0.00035,0.087594,0.115549,0.122206
Run 3,1011c,III,2,1011c-III-2,0.005493,0.001724,0.001754,0.002748,0.000497,0.03529,0.004926,0.002819,0.000975,0.000221,0.082858,0.105622,0.105498
Run 3,1011c,III,3,1011c-III-3,0.004841,0.004073,0.00266,0.00279,0.001007,0.031941,0.001963,0.002501,0.000973,0.000158,0.076612,0.090046,0.098643
Run 3,1011c,VIII,1,1011c-VIII-1,0.004063,0.001933,0.002349,0.004351,0.000773,0.485899,0.005725,0.00635,0.001262,0.000594,0.055245,0.061108,0.070844
Run 3,1011c,VIII,2,1011c-VIII-2,0.006772,0.003038,0.015588,0.004745,0.000393,7.779659,0.004825,0.006466,0.002018,0.002281,0.054018,0.057669,0.064258
Run 3,1011c,VIII,3,1011c-VIII-3,0.006597,0.002895,0.005037,0.00623,0.000522,0.019185,0.003659,0.003419,0.00211,0.000135,0.05386,0.059594,0.060228
