"BSH_Enzyme","Inhibitor","Bile_Acid","Run","Replicate","log2_concentration","fitted_value","fitted_se","enzyme_baseline","enzyme_inhibitor_interaction","enzyme_bileacid_interaction","inhibitor_potency","ci_lwr","ci_upr","inhibitor_baseline"
"F","XI","GCDCA","Run 4","3",1.36299579128277,1.44221124615996,0.781782256502382,1.89679174312983,2.45745778975858,3.66430755779228,-0.560666046628753,-0.0998483280744433,2.96473811741489,-9.56843193099836
"F","XI","GDCA","Run 4","1",2.60124209971496,2.11531683953997,0.751490772650283,1.89679174312983,2.45745778975858,3.45286513831952,-0.560666046628753,0.629863854849366,3.57570768363848,-9.56843193099836
"F","XI","GDCA","Run 4","2",1.5999574898206,2.11102580798977,0.762346409490265,1.89679174312983,2.45745778975858,3.45286513831952,-0.560666046628753,0.637711320425623,3.62610924562746,-9.56843193099836
"F","XI","GDCA","Run 4","3",0.188524382454625,2.13117942877025,0.748450769149417,1.89679174312983,2.45745778975858,3.45286513831952,-0.560666046628753,0.686753449323168,3.62068046438888,-9.56843193099836
"F","XI","GLCA","Run 4","1",0.421889918274453,1.5575055692907,0.764163964956326,1.89679174312983,2.45745778975858,5.90088705255778,-0.560666046628753,0.0231730489423486,3.01869579157115,-9.56843193099836
"F","XI","GLCA","Run 4","2",0.672524041100697,1.55321453774051,0.769440330511845,1.89679174312983,2.45745778975858,5.90088705255778,-0.560666046628753,0.00606871072199335,3.02227480632843,-9.56843193099836
"F","XI","GLCA","Run 4","3",-0.185169208356099,1.57336815852099,0.754960974054306,1.89679174312983,2.45745778975858,5.90088705255778,-0.560666046628753,0.0646967443434427,3.02414376263632,-9.56843193099836
"F","XI","GUDCA","Run 4","1",-0.469731951917099,1.96341711106087,0.771061010787356,1.89679174312983,2.45745778975858,2.38255487249532,-0.560666046628753,0.399224438680972,3.42178360096741,-9.56843193099836
"F","XI","GUDCA","Run 4","2",2.50954327820885,1.95912607951068,0.761128228495608,1.89679174312983,2.45745778975858,2.38255487249532,-0.560666046628753,0.396455108878726,3.38007776458151,-9.56843193099836
"F","XI","GUDCA","Run 4","3",-1.02951763359037,1.97927970029116,0.766443454864351,1.89679174312983,2.45745778975858,2.38255487249532,-0.560666046628753,0.426199238161607,3.43065758122986,-9.56843193099836
"F","XI","TCA","Run 4","1",1.86683759110604,0.0845281423492773,0.76166264656034,1.89679174312983,2.45745778975858,1.71436786298392,-0.560666046628753,-1.44577424226916,1.53994333224738,-9.56843193099836
